"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"00591",5.95179422520534e-11,1,19,29,"Linoleic acid metabolism","KEGG"
"GO:0051094",6.34805547943827e-11,1,212,1095,"positive regulation of developmental process","BP"
"GO:0008610",6.80564918757752e-11,1,107,456,"lipid biosynthetic process","BP"
"GO:0004866",8.76310537826098e-11,1,40,110,"endopeptidase inhibitor activity","MF"
"GO:0040017",9.46792533182131e-11,1,111,479,"positive regulation of locomotion","BP"
"GO:0065008",1.25293662332583e-10,1,461,2820,"regulation of biological quality","BP"
"GO:2000026",1.4173787401791e-10,1,279,1546,"regulation of multicellular organismal development","BP"
"GO:0051272",1.73619142705132e-10,1,108,466,"positive regulation of cellular component movement","BP"
"GO:2000147",2.10920796205701e-10,1,106,456,"positive regulation of cell motility","BP"
"GO:0048731",2.29789430381976e-10,1,514,3203,"system development","BP"
"GO:0003008",2.39062960803324e-10,1,187,953,"system process","BP"
"GO:0030335",2.41597751803283e-10,1,104,445,"positive regulation of cell migration","BP"
"GO:0033559",2.45893609909443e-10,0.999999999958443,33,81,"unsaturated fatty acid metabolic process","BP"
"GO:0030199",2.54602008158309e-10,0.999999999972094,23,43,"collagen fibril organization","BP"
"GO:0019369",2.72531235490285e-10,0.999999999970025,23,43,"arachidonic acid metabolic process","BP"
"GO:0010466",2.8319155233974e-10,0.999999999934426,50,158,"negative regulation of peptidase activity","BP"
"GO:0008391",3.98580849843635e-10,0.999999999964159,20,34,"arachidonic acid monooxygenase activity","MF"
"GO:0008392",4.04635803480847e-10,0.999999999966964,19,31,"arachidonic acid epoxygenase activity","MF"
"GO:0048856",4.24132854350257e-10,1,606,3893,"anatomical structure development","BP"
"GO:0051241",4.99863451391363e-10,1,188,968,"negative regulation of multicellular organismal process","BP"
"GO:0017144",5.94577119198282e-10,1,123,581,"drug metabolic process","BP"
"GO:0005518",6.19773353686724e-10,0.999999999918697,25,52,"collagen binding","MF"
"GO:0030545",6.20910369683708e-10,1,59,212,"receptor regulator activity","MF"
"GO:0061135",6.94955676819895e-10,0.999999999829419,40,116,"endopeptidase regulator activity","MF"
"GO:0055114",7.271836278731e-10,1,149,743,"oxidation-reduction process","BP"
"GO:0032963",7.54724882165149e-10,0.999999999844763,33,83,"collagen metabolic process","BP"
"GO:0032879",7.68942168060403e-10,1,353,2088,"regulation of localization","BP"
"GO:0032502",8.20224465726452e-10,1,638,4147,"developmental process","BP"
"GO:0071310",9.1829416317574e-10,1,287,1634,"cellular response to organic substance","BP"
"GO:0050878",1.29616685149379e-09,1,63,229,"regulation of body fluid levels","BP"
"GO:0072330",1.32462585495968e-09,1,61,220,"monocarboxylic acid biosynthetic process","BP"
"GO:0007275",1.36392038591528e-09,1,559,3571,"multicellular organism development","BP"
"GO:0050793",1.45394819529991e-09,1,333,1953,"regulation of developmental process","BP"
"GO:0061134",1.47234378882418e-09,0.999999999593136,45,143,"peptidase regulator activity","MF"
"GO:0019838",1.50883055175269e-09,0.99999999960492,42,125,"growth factor binding","MF"
"GO:0006690",1.59487054534746e-09,0.999999999668241,32,82,"icosanoid metabolic process","BP"
"GO:0042737",1.88089249358191e-09,0.999999999530013,39,113,"drug catabolic process","BP"
"GO:0030155",1.99690482257027e-09,1,120,556,"regulation of cell adhesion","BP"
"GO:0071466",2.20191732371146e-09,0.999999999390441,42,127,"cellular response to xenobiotic stimulus","BP"
"GO:0048018",2.33767564673088e-09,0.9999999992153,55,196,"receptor ligand activity","MF"
"GO:1901568",2.40696700429902e-09,0.999999999412574,36,100,"fatty acid derivative metabolic process","BP"
"GO:0010951",2.82309269775682e-09,0.999999999210224,42,128,"negative regulation of endopeptidase activity","BP"
"GO:0016054",3.62612386123074e-09,0.999999998771,55,191,"organic acid catabolic process","BP"
"GO:0046395",3.62612386123074e-09,0.999999998771,55,191,"carboxylic acid catabolic process","BP"
"GO:0050900",3.98495131817142e-09,1,65,251,"leukocyte migration","BP"
"GO:0070330",4.4037097422995e-09,0.999999999559505,18,31,"aromatase activity","MF"
"GO:0045765",4.49477820823304e-09,1,66,253,"regulation of angiogenesis","BP"
"GO:1901606",5.79212414567775e-09,0.999999998850805,28,68,"alpha-amino acid catabolic process","BP"
"GO:0006820",5.88843957500994e-09,1,87,371,"anion transport","BP"
"00590",6.57210019762873e-09,0.999999998789115,26,61,"Arachidonic acid metabolism","KEGG"
"GO:0061041",6.76072295624927e-09,0.999999998186965,38,112,"regulation of wound healing","BP"
"GO:0045597",7.65087689173217e-09,1,158,806,"positive regulation of cell differentiation","BP"
"GO:0042738",8.02635750755522e-09,0.999999998881748,21,42,"exogenous drug catabolic process","BP"
"GO:0050920",8.39650055384658e-09,0.999999997266354,48,161,"regulation of chemotaxis","BP"
"GO:0015711",8.98567781850561e-09,1,73,295,"organic anion transport","BP"
"GO:0009410",9.03594399679752e-09,0.999999996970178,50,171,"response to xenobiotic stimulus","BP"
"GO:0007166",9.92179065381248e-09,1,296,1730,"cell surface receptor signaling pathway","BP"
"GO:0043168",9.9422960573454e-09,1,367,2219,"anion binding","MF"
"GO:0051346",1.04086643838963e-08,1,70,283,"negative regulation of hydrolase activity","BP"
"GO:0004867",1.11026791948796e-08,0.999999997781609,27,67,"serine-type endopeptidase inhibitor activity","MF"
"GO:0010817",1.12238299724903e-08,1,84,361,"regulation of hormone levels","BP"
"GO:0060326",1.14181967387009e-08,1,57,214,"cell chemotaxis","BP"
"GO:0006641",1.15126701428715e-08,0.999999997169447,33,92,"triglyceride metabolic process","BP"
"GO:0071363",1.226136955397e-08,1,99,444,"cellular response to growth factor stimulus","BP"
"GO:0032101",1.39983581677152e-08,1,121,586,"regulation of response to external stimulus","BP"
"GO:0006639",1.40999988889356e-08,0.999999996128544,37,111,"acylglycerol metabolic process","BP"
"GO:0006790",1.6205297861393e-08,1,62,243,"sulfur compound metabolic process","BP"
"GO:0051716",1.68490190341147e-08,1,684,4575,"cellular response to stimulus","BP"
"GO:0022603",1.85452961626278e-08,1,160,828,"regulation of anatomical structure morphogenesis","BP"
"GO:1901615",1.88253995854308e-08,1,83,359,"organic hydroxy compound metabolic process","BP"
"GO:0006638",2.39884782915726e-08,0.999999993241264,37,113,"neutral lipid metabolic process","BP"
"GO:0070848",2.41207640702857e-08,1,100,456,"response to growth factor","BP"
"GO:0001503",2.43023940566886e-08,1,65,257,"ossification","BP"
"GO:0006732",2.71438451060377e-08,1,71,294,"coenzyme metabolic process","BP"
"GO:0010562",2.78517239068942e-08,1,160,836,"positive regulation of phosphorus metabolic process","BP"
"GO:0045937",2.78517239068942e-08,1,160,836,"positive regulation of phosphate metabolic process","BP"
"GO:1901605",2.81507701738244e-08,0.999999990223887,49,171,"alpha-amino acid metabolic process","BP"
"GO:0009887",3.28875955955887e-08,1,139,697,"animal organ morphogenesis","BP"
"GO:0032964",4.1473281965619e-08,0.999999993764386,20,42,"collagen biosynthetic process","BP"
"GO:0006954",4.16295844737591e-08,1,105,502,"inflammatory response","BP"
"GO:0045834",4.21430457291636e-08,0.999999986791106,41,134,"positive regulation of lipid metabolic process","BP"
"GO:0031589",5.58831207079395e-08,1,68,278,"cell-substrate adhesion","BP"
"GO:0048729",5.79923977398013e-08,1,102,475,"tissue morphogenesis","BP"
"GO:0001934",6.16135659193151e-08,1,143,736,"positive regulation of protein phosphorylation","BP"
"GO:1901342",6.35347234738696e-08,1,68,281,"regulation of vasculature development","BP"
"GO:0042327",6.60670415756135e-08,1,150,782,"positive regulation of phosphorylation","BP"
"GO:0009063",6.74421761110669e-08,0.999999983777469,29,79,"cellular amino acid catabolic process","BP"
"GO:0061448",6.90725204471644e-08,0.999999973937311,53,195,"connective tissue development","BP"
"GO:0050649",8.35451888165e-08,1,8,8,"testosterone 6-beta-hydroxylase activity","MF"
"GO:0005506",8.57276120122049e-08,0.999999973200402,39,127,"iron ion binding","MF"
"GO:0010631",9.03132620692302e-08,1,59,232,"epithelial cell migration","BP"
"GO:0097529",9.32875214449911e-08,0.99999996854164,43,151,"myeloid leukocyte migration","BP"
"GO:0010876",9.5156575644067e-08,1,69,292,"lipid localization","BP"
"GO:0101020",9.86461978833585e-08,0.999999998542313,9,10,"estrogen 16-alpha-hydroxylase activity","MF"
"GO:0009064",1.03580728246483e-07,0.999999979933615,23,55,"glutamine family amino acid metabolic process","BP"
"GO:0090132",1.05864899486664e-07,1,59,233,"epithelium migration","BP"
"GO:0098609",1.13875193774412e-07,1,110,534,"cell-cell adhesion","BP"
"GO:0009617",1.20631498845698e-07,1,93,442,"response to bacterium","BP"
"GO:0090130",1.21864774376081e-07,1,59,234,"tissue migration","BP"
"00010",1.33523215741814e-07,0.999999974906485,22,52,"Glycolysis / Gluconeogenesis","KEGG"
"GO:0030154",1.38941497964078e-07,1,436,2780,"cell differentiation","BP"
"GO:0051216",1.63808308420832e-07,0.999999945431681,41,138,"cartilage development","BP"
"GO:0032103",1.72177266839911e-07,1,57,230,"positive regulation of response to external stimulus","BP"
"GO:0001501",1.75090790712924e-07,1,79,350,"skeletal system development","BP"
"GO:0051336",1.77437326300887e-07,1,146,777,"regulation of hydrolase activity","BP"
"GO:0002685",1.93829859196112e-07,0.999999931628965,44,157,"regulation of leukocyte migration","BP"
"GO:0045595",2.44862805986283e-07,1,235,1367,"regulation of cell differentiation","BP"
"GO:0050662",2.52495711741685e-07,1,63,262,"coenzyme binding","MF"
"GO:1901700",2.77499306072119e-07,1,187,1051,"response to oxygen-containing compound","BP"
"GO:0052547",2.83278277437137e-07,1,69,303,"regulation of peptidase activity","BP"
"GO:0050839",2.851286065663e-07,0.999999892494333,48,176,"cell adhesion molecule binding","MF"
"GO:0006575",2.93063961931157e-07,0.99999989921206,41,145,"cellular modified amino acid metabolic process","BP"
"GO:0006066",3.47971233651029e-07,1,61,255,"alcohol metabolic process","BP"
"GO:0042802",3.65548854189963e-07,1,255,1525,"identical protein binding","MF"
"04060",4.03423344073658e-07,0.999999857208652,42,150,"Cytokine-cytokine receptor interaction","KEGG"
"GO:0048407",4.3765999647097e-07,0.999999987234037,9,11,"platelet-derived growth factor binding","MF"
"GO:0010632",4.44173122101158e-07,0.999999827235038,49,185,"regulation of epithelial cell migration","BP"
"GO:0005178",4.66156745669383e-07,0.999999863140264,32,99,"integrin binding","MF"
"04610",4.85218049511919e-07,0.999999880019934,26,73,"Complement and coagulation cascades","KEGG"
"GO:0007599",4.96235612364177e-07,0.999999831243451,39,134,"hemostasis","BP"
"GO:0001932",5.08740456602083e-07,1,192,1088,"regulation of protein phosphorylation","BP"
"GO:0048869",5.56873452704045e-07,0.999999761408731,455,2940,"cellular developmental process","BP"
"04510",6.39074766111747e-07,0.999999756666757,46,170,"Focal adhesion","KEGG"
"GO:0098868",6.57384305153418e-07,0.999999915851977,15,29,"bone growth","BP"
"GO:0030595",7.32134883786196e-07,0.99999973293718,42,156,"leukocyte chemotaxis","BP"
"GO:0001667",7.76143672320262e-07,0.999999743792415,73,324,"ameboidal-type cell migration","BP"
"GO:0046460",8.19209189245935e-07,0.999999869371137,17,37,"neutral lipid biosynthetic process","BP"
"GO:0046463",8.19209189245935e-07,0.999999869371137,17,37,"acylglycerol biosynthetic process","BP"
"GO:0071495",8.44962917664391e-07,0.999999673733668,156,845,"cellular response to endogenous stimulus","BP"
"GO:0007596",9.29875621362347e-07,0.999999679206438,38,132,"blood coagulation","BP"
"00140",9.50912203680602e-07,0.999999822500462,19,45,"Steroid hormone biosynthesis","KEGG"
"GO:0016614",9.77180208371032e-07,0.999999679490172,35,119,"oxidoreductase activity, acting on CH-OH group of donors","MF"
"GO:0060429",9.93019800112759e-07,0.999999618777219,148,794,"epithelium development","BP"
"GO:0019433",1.01148613188685e-06,0.999999890549213,13,24,"triglyceride catabolic process","BP"
"GO:0009725",1.01204907148403e-06,0.999999633395055,106,529,"response to hormone","BP"
"GO:0016042",1.05619220529003e-06,0.999999671841025,58,243,"lipid catabolic process","BP"
"GO:1905517",1.06071906200893e-06,0.999999797413468,19,47,"macrophage migration","BP"
"GO:0048732",1.16057259147439e-06,0.999999616243688,71,316,"gland development","BP"
"GO:0050921",1.29355081650029e-06,0.999999595896553,32,105,"positive regulation of chemotaxis","BP"
"GO:0031214",1.31206432347805e-06,0.999999590481807,32,104,"biomineral tissue development","BP"
"GO:0048771",1.37935785111111e-06,0.99999949123346,41,149,"tissue remodeling","BP"
"GO:0050817",1.40970580603784e-06,0.999999503301385,38,134,"coagulation","BP"
"GO:0016616",1.47143169945675e-06,0.99999952619012,33,111,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF"
"GO:1903034",1.48858183931131e-06,0.999999465046405,39,140,"regulation of response to wounding","BP"
"GO:0043167",1.49016598256997e-06,0.99999903425244,638,4310,"ion binding","MF"
"GO:0007154",1.49690064293848e-06,0.999999036111983,555,3693,"cell communication","BP"
"GO:0045766",1.56914231307935e-06,0.999999416962016,41,151,"positive regulation of angiogenesis","BP"
"GO:0006694",1.71042475974536e-06,0.999999422203953,35,121,"steroid biosynthetic process","BP"
"GO:0007178",1.72260317536354e-06,0.999999458085553,58,243,"transmembrane receptor protein serine/threonine kinase signaling pathway","BP"
"GO:0019842",1.87785289362097e-06,0.999999401090091,32,106,"vitamin binding","MF"
"GO:0046942",1.94890525255291e-06,0.99999925337168,52,211,"carboxylic acid transport","BP"
"GO:0006749",2.07444797788642e-06,0.999999552606732,20,54,"glutathione metabolic process","BP"
"GO:0004364",2.14124382381894e-06,0.999999732685203,13,27,"glutathione transferase activity","MF"
"GO:0015849",2.18360961183998e-06,0.999999160122015,52,212,"organic acid transport","BP"
"GO:0043177",2.18476815660413e-06,0.999999151221754,43,165,"organic acid binding","MF"
"GO:0045861",2.27015466764933e-06,0.999999082144949,59,256,"negative regulation of proteolysis","BP"
"GO:0007169",2.30574281084249e-06,0.999998938152136,92,446,"transmembrane receptor protein tyrosine kinase signaling pathway","BP"
"GO:0042325",2.3101996991894e-06,0.999998770976423,206,1198,"regulation of phosphorylation","BP"
"GO:0023052",2.34042057377515e-06,0.999998399031381,547,3642,"signaling","BP"
"GO:0023056",2.59474332678071e-06,0.999998456592871,217,1277,"positive regulation of signaling","BP"
"GO:0046461",2.69789108560556e-06,0.999999582716837,15,33,"neutral lipid catabolic process","BP"
"GO:0046464",2.69789108560556e-06,0.999999582716837,15,33,"acylglycerol catabolic process","BP"
"00983",2.71434621713294e-06,0.999999379880829,21,56,"Drug metabolism - other enzymes","KEGG"
"GO:0031406",2.7512958959945e-06,0.999998934394448,42,160,"carboxylic acid binding","MF"
"GO:0010647",2.86620905140868e-06,0.999998293894489,216,1272,"positive regulation of cell communication","BP"
"GO:0034097",2.96466609149248e-06,0.999998534246009,125,667,"response to cytokine","BP"
"GO:0002062",2.96530049446203e-06,0.9999991457959,27,83,"chondrocyte differentiation","BP"
"GO:0043648",3.36559859787831e-06,0.999999051083429,26,79,"dicarboxylic acid metabolic process","BP"
"GO:0048468",3.38340555855396e-06,0.999997931611764,265,1605,"cell development","BP"
"GO:1902652",3.38978783405683e-06,0.999998880199478,32,109,"secondary alcohol metabolic process","BP"
"GO:0015718",3.40393596931153e-06,0.999998899967042,31,104,"monocarboxylic acid transport","BP"
"GO:0043086",3.4367373280488e-06,0.999998364346475,102,521,"negative regulation of catalytic activity","BP"
"GO:0048589",3.53646182728296e-06,0.99999812329534,110,563,"developmental growth","BP"
"GO:0008652",3.56874672068215e-06,0.999999165089666,21,57,"cellular amino acid biosynthetic process","BP"
"GO:0040007",3.73753391919517e-06,0.999997889993926,149,818,"growth","BP"
"GO:0046889",3.8131881933962e-06,0.999998914063675,26,80,"positive regulation of lipid biosynthetic process","BP"
"GO:0061045",3.86166119121027e-06,0.999999091573744,21,57,"negative regulation of wound healing","BP"
"GO:0035634",3.87555927833133e-06,0.999999617977706,11,20,"response to stilbenoid","BP"
"00620",3.9043577480306e-06,0.999999319000505,16,37,"Pyruvate metabolism","KEGG"
"GO:0009967",4.13822378931547e-06,0.999997429516566,196,1139,"positive regulation of signal transduction","BP"
"GO:0016769",4.18302394343676e-06,0.999999530927672,12,22,"transferase activity, transferring nitrogenous groups","MF"
"GO:0006633",4.2833973036164e-06,0.999998535689717,33,115,"fatty acid biosynthetic process","BP"
"GO:0018149",4.47739119933816e-06,0.999999649903623,10,16,"peptide cross-linking","BP"
"00910",4.51238424098053e-06,0.999999565328901,11,19,"Nitrogen metabolism","KEGG"
"GO:0045923",4.51690280982759e-06,0.999999202343829,16,37,"positive regulation of fatty acid metabolic process","BP"
"GO:0046890",5.31541600889044e-06,0.999997992204393,38,142,"regulation of lipid biosynthetic process","BP"
"GO:0008284",5.37116495077942e-06,0.999997031502507,128,691,"positive regulation of cell proliferation","BP"
"GO:0006793",5.38887968891074e-06,0.999996188036144,368,2360,"phosphorus metabolic process","BP"
"GO:0019220",5.42193435629552e-06,0.999996455713795,222,1319,"regulation of phosphate metabolic process","BP"
"GO:0051174",5.72590819751959e-06,0.99999625394626,222,1320,"regulation of phosphorus metabolic process","BP"
"GO:0048584",5.98918371105167e-06,0.999995986625616,265,1625,"positive regulation of response to stimulus","BP"
"GO:0008283",6.12706373939103e-06,0.999995939726208,242,1465,"cell proliferation","BP"
"GO:0050877",6.23019324489607e-06,0.999996694609935,104,534,"nervous system process","BP"
"GO:0042493",6.2351733500436e-06,0.999996459806144,116,611,"response to drug","BP"
"GO:0006536",6.36856613414284e-06,0.999999132328189,13,26,"glutamate metabolic process","BP"
"GO:0006796",6.44019773996833e-06,0.999995438405268,365,2343,"phosphate-containing compound metabolic process","BP"
"GO:0043542",6.80561524060656e-06,0.999997214526838,43,169,"endothelial cell migration","BP"
"GO:0050790",7.06421591110919e-06,0.999995311552988,241,1463,"regulation of catalytic activity","BP"
"GO:0019432",7.194407275193e-06,0.999998770210433,15,34,"triglyceride biosynthetic process","BP"
"GO:0007165",7.40424988915274e-06,0.999994527486997,507,3373,"signal transduction","BP"
"GO:0006869",7.5192172282944e-06,0.999996613813623,58,257,"lipid transport","BP"
"GO:0002687",7.83481537205452e-06,0.999997332205226,31,109,"positive regulation of leukocyte migration","BP"
"GO:0097435",7.89556118373915e-06,0.999995606393055,104,536,"supramolecular fiber organization","BP"
"GO:0006952",8.1401961897085e-06,0.999994821082254,178,1037,"defense response","BP"
"GO:0060351",8.15950225283041e-06,0.999998589285434,15,34,"cartilage development involved in endochondral bone morphogenesis","BP"
"GO:0072593",8.25458722919731e-06,0.999996259615765,54,238,"reactive oxygen species metabolic process","BP"
"GO:0030282",8.30854089411254e-06,0.999997578185204,25,78,"bone mineralization","BP"
"GO:0030193",8.87813341721446e-06,0.999997570350491,23,69,"regulation of blood coagulation","BP"
"GO:1900046",8.87813341721446e-06,0.999997570350491,23,69,"regulation of hemostasis","BP"
"GO:0052689",8.91294645063493e-06,0.999996880065938,32,114,"carboxylic ester hydrolase activity","MF"
"GO:0032102",8.94890058957801e-06,0.999995945900171,58,258,"negative regulation of response to external stimulus","BP"
"GO:0023051",8.98070380815656e-06,0.999993513888397,372,2390,"regulation of signaling","BP"
"GO:0055086",9.12933208712149e-06,0.999994918755924,102,543,"nucleobase-containing small molecule metabolic process","BP"
"00500",9.2791052599522e-06,0.999998111163809,17,42,"Starch and sucrose metabolism","KEGG"
"GO:0008483",9.81536269378939e-06,0.99999892489477,11,20,"transaminase activity","MF"
"GO:1904018",9.94077147597339e-06,0.999995903339208,42,167,"positive regulation of vasculature development","BP"
"GO:0003416",1.02455066155187e-05,0.999998506237131,13,27,"endochondral bone growth","BP"
"GO:0001649",1.08549176879149e-05,0.999995877000702,36,134,"osteoblast differentiation","BP"
"GO:0006520",1.10595828225077e-05,0.999994941546481,54,234,"cellular amino acid metabolic process","BP"
"GO:1901564",1.13134665512143e-05,0.999991305136413,684,4766,"organonitrogen compound metabolic process","BP"
"04974",1.18027401096922e-05,0.999997378012441,18,47,"Protein digestion and absorption","KEGG"
"GO:0052548",1.22552850425675e-05,0.999994206144599,58,263,"regulation of endopeptidase activity","BP"
"GO:0008203",1.23877685640132e-05,0.999995759821836,30,105,"cholesterol metabolic process","BP"
"GO:0046903",1.24684114460897e-05,0.999992115293732,151,851,"secretion","BP"
"GO:0033993",1.29714931948014e-05,0.99999260500342,100,519,"response to lipid","BP"
"GO:0010646",1.3137132612547e-05,0.999990386200066,368,2370,"regulation of cell communication","BP"
"GO:0019955",1.32466299125249e-05,0.999995663605263,28,94,"cytokine binding","MF"
"GO:0043408",1.33780584041124e-05,0.999992257632588,106,555,"regulation of MAPK cascade","BP"
"GO:0050996",1.36821511368581e-05,0.999998120888575,12,25,"positive regulation of lipid catabolic process","BP"
"GO:0030246",1.43154026183178e-05,0.999993652813134,47,197,"carbohydrate binding","MF"
"GO:0048878",1.53487199790388e-05,0.999990313729608,146,825,"chemical homeostasis","BP"
"GO:0035265",1.54306932584538e-05,0.9999936699361,40,157,"organ growth","BP"
"GO:0005126",1.59493270930113e-05,0.999993181344065,43,178,"cytokine receptor binding","MF"
"GO:0003013",1.64312407135798e-05,0.999991833215404,65,304,"circulatory system process","BP"
